800000,342.0,459.0,330.0,326.0,275.0
1600000,143.0,690.0,214.0,141.0,74.0
2400000,62.0,82.0,53.0,82.0,30.0
3200000,39.0,130.0,69.0,127.0,54.0
4000000,18.0,57.0,31.0,57.0,36.0
4800000,0.0,29.0,10.0,23.0,0.0
5600000,0.0,42.0,15.0,42.0,1.0
6400000,76.0,100.0,72.0,100.0,6.0
7200000,6.0,17.0,15.0,12.0,12.0
8000000,0.0,38.0,23.0,26.0,41.0
8800000,6.0,26.0,13.0,26.0,11.0
9600000,5.0,49.0,17.0,49.0,11.0
10400000,24.0,192.0,120.0,192.0,30.0
11200000,12.0,125.0,62.0,125.0,23.0
12000000,18.0,76.0,25.0,76.0,8.0
12800000,30.0,109.0,43.0,109.0,42.0
13600000,73.0,261.0,146.0,261.0,38.0
14400000,12.0,306.0,76.0,306.0,45.0
15200000,5.0,13.0,13.0,13.0,7.0
16000000,0.0,29.0,12.0,29.0,3.0
16800000,0.0,124.0,68.0,124.0,14.0
17600000,0.0,361.0,110.0,361.0,30.0
18400000,8.0,15.0,12.0,15.0,16.0
19200000,0.0,120.0,67.0,120.0,4.0
20000000,0.0,188.0,78.0,186.0,9.0
20800000,0.0,625.0,182.0,619.0,46.0
21600000,1.0,593.0,182.0,582.0,41.0
22400000,6.0,123.0,84.0,123.0,21.0
23200000,5.0,96.0,58.0,87.0,9.0
24000000,7.0,14.0,17.0,14.0,1.0
24800000,0.0,44.0,17.0,44.0,9.0
25600000,0.0,97.0,58.0,90.0,23.0
26400000,0.0,177.0,94.0,177.0,34.0
27200000,0.0,246.0,78.0,292.0,10.0
28000000,6.0,35.0,35.0,35.0,17.0
28800000,0.0,12.0,14.0,12.0,3.0
29600000,11.0,49.0,26.0,49.0,17.0
30400000,1.0,41.0,31.0,42.0,43.0
31200000,0.0,47.0,17.0,47.0,5.0
32000000,0.0,99.0,50.0,99.0,3.0
32800000,0.0,25.0,18.0,20.0,34.0
33600000,0.0,164.0,109.0,164.0,35.0
34400000,17.0,493.0,205.0,493.0,25.0
35200000,0.0,35.0,20.0,27.0,6.0
36000000,0.0,276.0,118.0,270.0,29.0
36800000,3.0,586.0,257.0,568.0,2.0
37600000,8.0,828.0,270.0,818.0,63.0
38400000,30.0,31.0,33.0,31.0,40.0
39200000,0.0,322.0,110.0,345.0,52.0
40000000,0.0,133.0,62.0,130.0,5.0
40800000,6.0,219.0,93.0,219.0,13.0
41600000,0.0,38.0,24.0,38.0,14.0
42400000,0.0,24.0,19.0,24.0,8.0
43200000,0.0,12.0,5.0,12.0,0.0
44000000,0.0,18.0,5.0,18.0,12.0
44800000,3.0,54.0,28.0,54.0,26.0
45600000,0.0,6.0,7.0,6.0,0.0
46400000,0.0,6.0,18.0,6.0,7.0
47200000,0.0,21.0,33.0,21.0,6.0
48000000,0.0,154.0,151.0,162.0,140.0
48800000,0.0,142.0,105.0,142.0,37.0
49600000,25.0,44.0,25.0,44.0,20.0
50400000,0.0,98.0,27.0,90.0,0.0
51200000,0.0,28.0,18.0,24.0,0.0
52000000,0.0,100.0,91.0,100.0,44.0
52800000,0.0,165.0,118.0,166.0,21.0
53600000,0.0,121.0,35.0,116.0,5.0
54400000,0.0,128.0,46.0,128.0,17.0
55200000,0.0,329.0,174.0,323.0,20.0
56000000,0.0,84.0,75.0,84.0,4.0
56800000,0.0,64.0,27.0,56.0,11.0
57600000,0.0,120.0,98.0,120.0,26.0
58400000,6.0,398.0,220.0,404.0,37.0
59200000,0.0,406.0,225.0,400.0,19.0
60000000,0.0,234.0,109.0,234.0,16.0